algorithm,algorithm_type,operation,nist_level,family,iteration,wall_time_ns,perf_time_ns,payload_size,public_key_bytes,secret_key_bytes,ciphertext_bytes,signature_bytes,shared_secret_bytes,source_file
Falcon-1024,SIG,keygen,L5,Falcon,46,42998566,42997233,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,47,50855997,50855090,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,48,47964773,47964291,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,49,49638811,49638330,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,50,46092680,46092402,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,51,46762661,46762051,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,52,45581993,45581716,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,53,53722555,53722203,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,54,45529308,45529012,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,55,59641948,59640707,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,56,45098031,45097567,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,57,43580085,43578696,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,58,56397167,56395557,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,59,74300254,74299402,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,60,55956371,55955871,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,61,45050049,45049511,,1793,2305,,,,Falcon_1024_keygen.json
