algorithm,algorithm_type,operation,nist_level,family,iteration,wall_time_ns,perf_time_ns,payload_size,public_key_bytes,secret_key_bytes,ciphertext_bytes,signature_bytes,shared_secret_bytes,source_file
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,40,24722,24685,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,41,24963,24889,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,42,25334,25203,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,43,25296,25222,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,44,25463,25333,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,45,26111,26074,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,46,24963,24870,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,47,24981,24889,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,48,24852,24760,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,49,25074,24963,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,50,24870,24778,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,51,24926,24852,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,52,24834,24759,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,53,24962,24833,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,54,25592,25537,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,55,24963,24907,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,56,25000,24945,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,57,25019,24907,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,58,24963,24852,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,59,24926,24833,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,60,24925,24778,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,61,24945,24907,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,62,24926,24852,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,63,25037,24963,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,64,25315,25203,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,65,24871,24815,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,66,24963,24852,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,67,25407,25333,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,68,24889,24815,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,69,26000,25963,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,70,25074,24963,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,71,25166,25037,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,72,25055,24908,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,73,25018,24907,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,74,25037,25019,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,75,25130,25037,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,76,24888,24871,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,77,25278,25166,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,78,24963,24907,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,79,25037,24944,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,80,24908,24814,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,81,25074,24963,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,82,25056,25000,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,83,24982,24870,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,84,24926,24852,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,85,24963,24907,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,86,26722,26667,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,87,24945,24815,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,88,24982,24889,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,89,24944,24833,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,90,24889,24796,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,91,25056,24982,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,92,25537,25519,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,93,25074,24963,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,94,25018,24889,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,95,25037,24907,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,96,24963,24852,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,97,25037,24926,1024,,,,,,AES_256_GCM_decrypt_1024B.json
