Suite,KEM,SIG,AEAD,Level,Base Handshake ms,XGB Handshake ms,TST Handshake ms,Δ XGB %,Δ TST %,Base Total Crypto ms,XGB Total Crypto ms,TST Total Crypto ms,Δ XGB %,Δ TST %,Base Throughput Mbps,XGB Throughput Mbps,TST Throughput Mbps,Δ XGB %,Δ TST %,Base Pkt Loss %,XGB Pkt Loss %,TST Pkt Loss %,Δ XGB %,Δ TST %,Base Drone CPU Avg %,XGB Drone CPU Avg %,TST Drone CPU Avg %,Δ XGB %,Δ TST %,Base Drone CPU Peak %,XGB Drone CPU Peak %,TST Drone CPU Peak %,Δ XGB %,Δ TST %,Base Drone Temp °C,XGB Drone Temp °C,TST Drone Temp °C,Δ XGB %,Δ TST %,Base GCS CPU Avg %,XGB GCS CPU Avg %,TST GCS CPU Avg %,Δ XGB %,Δ TST %,Base GCS CPU Peak %,XGB GCS CPU Peak %,TST GCS CPU Peak %,Δ XGB %,Δ TST %,Base MAV Drone Msgs RX,XGB MAV Drone Msgs RX,TST MAV Drone Msgs RX,Δ XGB %,Δ TST %,Base MAV Drone StreamHz,XGB MAV Drone StreamHz,TST MAV Drone StreamHz,Δ XGB %,Δ TST %,Base Power Avg W,XGB Power Avg W,TST Power Avg W,Δ XGB %,Δ TST %,Base Energy Total J,XGB Energy Total J,TST Energy Total J,Δ XGB %,Δ TST %,Base Suite Active ms,XGB Suite Active ms,TST Suite Active ms,Δ XGB %,Δ TST %
cs-classicmceliece460896-aesgcm-sphincs192s,Classic-McEliece-460896,SPHINCS+-SHA2-192s-simple,AES-256-GCM,L3,48185.70030698902,48173.27967798337,48368.8982980093,-0.03,+0.38,,,,,,,,,,,0,0,0,,,12.755208333333334,38.38645833333333,87.5557894736842,+200.95,+586.43,36.5,60.3,96.6,+65.21,+164.66,59.887,74.01,81.315,+23.58,+35.78,,,,,,,,,,,4162,4161,4179,-0.02,+0.41,84.84,84.71,84.87,-0.15,+0.04,0.0,0.0,0.0,,,0.0,0.0,0.0,,,226.98471500189044,302.71648400230333,222.12065898929723,+33.36,-2.14
cs-classicmceliece460896-ascon128a-mldsa65,Classic-McEliece-460896,ML-DSA-65,Ascon-128a,L3,563.595202,228.903168,279.648435,-59.39,-50.38,530.838171,140.29499800000002,188.06261200000003,-73.57,-64.57,0.02106755567106799,0.020716709021116924,0.020284787653655108,-1.67,-3.72,0,0,0,,,13.763333333333337,39.71785714285714,89.65714285714283,+188.58,+551.42,38.6,67.0,97.5,+73.58,+152.59,60.374,72.549,82.776,+20.17,+37.11,10.160714285714288,6.961538461538461,15.307692307692308,-31.49,+50.66,50.1,10.4,55.2,-79.24,+10.18,1306,1226,1226,-6.13,-6.13,85.23,85.51,84.49,+0.33,-0.87,0.0,0.0,0.0,,,0.0,0.0,0.0,,,11803.552527999273,11029.164901003242,11113.747101975605,-6.56,-5.84
cs-classicmceliece460896-ascon128a-sphincs192s,Classic-McEliece-460896,SPHINCS+-SHA2-192s-simple,Ascon-128a,L3,2040.79843,1647.171461,1947.620755,-19.29,-4.57,1991.430778,1595.847227,1869.2790989999999,-19.86,-6.13,0.021679231545052267,0.020732100939327446,0.020836389781754512,-4.37,-3.89,0,0,0,,,15.166666666666664,39.746428571428574,88.47777777777777,+162.06,+483.37,40.5,61.1,95.2,+50.86,+135.06,61.348,74.497,83.263,+21.43,+35.72,17.392857142857142,13.465384615384616,7.572,-22.58,-56.46,56.8,47.7,13.7,-16.02,-75.88,1291,1203,1205,-6.82,-6.66,84.24,84.04,85.81,-0.24,+1.86,0.0,0.0,0.0,,,0.0,0.0,0.0,,,10412.5461980002,9803.155049012275,8839.535156002967,-5.85,-15.11
cs-classicmceliece460896-chacha20poly1305-mldsa65,Classic-McEliece-460896,ML-DSA-65,ChaCha20-Poly1305,L3,304.865641,263.173486,687.455664,-13.68,+125.49,230.125039,187.873641,636.386367,-18.36,+176.54,0.021476537626885114,0.0205103367988952,0.021381043748110066,-4.50,-0.44,0,0,0,,,15.351851851851848,40.99999999999999,89.24285714285713,+167.07,+481.32,34.9,60.9,96.1,+74.50,+175.36,61.835,72.549,82.289,+17.33,+33.08,7.6038461538461535,23.073076923076933,8.777777777777779,+203.44,+15.44,17.4,55.9,28.4,+221.26,+63.22,1183,1208,1251,+2.11,+5.75,85.75,84.39,85.84,-1.59,+0.10,0.0,0.0,0.0,,,0.0,0.0,0.0,,,10511.564011016162,11006.74270800664,10621.74525600858,+4.71,+1.05
cs-classicmceliece460896-chacha20poly1305-sphincs192s,Classic-McEliece-460896,SPHINCS+-SHA2-192s-simple,ChaCha20-Poly1305,L3,1623.997561,1706.113436,2473.14408,+5.06,+52.29,1560.64623,1661.363065,2386.619389,+6.45,+52.93,0.02218679840883333,0.021264038629121993,0.02026648249106088,-4.16,-8.66,0,0,0,,,13.479310344827587,40.94666666666665,88.93666666666668,+203.77,+559.80,35.6,57.6,96.5,+61.80,+171.07,60.374,73.523,82.289,+21.78,+36.30,8.014285714285714,9.185714285714287,14.517857142857142,+14.62,+81.15,15.0,16.2,53.7,+8.00,+258.00,1270,1313,1330,+3.39,+4.72,85.73,85.46,85.08,-0.31,-0.76,0.0,0.0,0.0,,,0.0,0.0,0.0,,,10235.9969120007,10655.736849992536,10018.512096983613,+4.10,-2.12
cs-classicmceliece8192128-aesgcm-falcon1024,Classic-McEliece-8192128,Falcon-1024,AES-256-GCM,L5,678.443304,970.326321,551.434585,+43.02,-18.72,527.9162259999999,720.8142489999999,399.980138,+36.54,-24.23,0.021131903310393704,0.021645901154552675,0.0202128234740326,+2.43,-4.35,0,0,0,,,14.682142857142859,40.27499999999999,89.2103448275862,+174.31,+507.61,36.3,61.6,95.6,+69.70,+163.36,61.348,73.523,82.776,+19.85,+34.93,15.770370370370374,14.514814814814814,9.122222222222222,-7.96,-42.16,59.8,42.4,38.7,-29.10,-35.28,1225,1226,1270,+0.08,+3.67,85.55,85.43,84.43,-0.14,-1.31,0.0,0.0,0.0,,,0.0,0.0,0.0,,,10806.030892999843,10428.579451981932,11302.527838008245,-3.49,+4.59
cs-classicmceliece8192128-aesgcm-mldsa87,Classic-McEliece-8192128,ML-DSA-87,AES-256-GCM,L5,505.262759,535.317922,689.119751,+5.95,+36.39,367.32495900000004,388.94935300000003,546.2917000000001,+5.89,+48.72,0.020967490321708037,0.02099284894284255,0.019768313309346808,+0.12,-5.72,0,0,0,,,15.517857142857142,40.95357142857142,89.65925925925923,+163.91,+477.78,39.6,61.2,96.6,+54.55,+143.94,61.835,73.523,83.263,+18.90,+34.65,11.165384615384614,9.82962962962963,9.330769230769231,-11.96,-16.43,32.2,30.6,53.1,-4.97,+64.91,1229,1209,1188,-1.63,-3.34,85.85,84.42,84.83,-1.67,-1.19,0.0,0.0,0.0,,,0.0,0.0,0.0,,,11007.135163003113,10818.160060996888,10288.384083018173,-1.72,-6.53
cs-classicmceliece8192128-aesgcm-sphincs256s,Classic-McEliece-8192128,SPHINCS+-SHA2-256s-simple,AES-256-GCM,L5,1650.78528,1774.73047,1978.072534,+7.51,+19.83,1525.246386,1620.3277150000001,1870.0168589999998,+6.23,+22.60,0.020860910165462467,0.020152244737535182,0.01918852032194311,-3.40,-8.02,0,0,0,,,14.463333333333335,41.06206896551724,88.31071428571428,+183.90,+510.58,39.9,60.8,95.6,+52.38,+139.60,60.861,74.497,82.776,+22.41,+36.01,11.007142857142856,13.214285714285717,13.54814814814815,+20.05,+23.09,25.8,51.8,65.9,+100.78,+155.43,1289,1268,1245,-1.63,-3.41,84.07,85.39,85.46,+1.57,+1.65,0.0,0.0,0.0,,,0.0,0.0,0.0,,,10821.004366996931,10074.11346200388,9415.629603987327,-6.90,-12.99
cs-classicmceliece8192128-ascon128a-falcon1024,Classic-McEliece-8192128,Falcon-1024,Ascon-128a,L5,678.764612,955.310417,3341.552587,+40.74,+392.30,549.110328,736.131131,3193.7852749999997,+34.06,+481.63,0.02086692182983525,0.020773989339775912,0.019420378521581832,-0.45,-6.93,0,0,0,,,13.967857142857143,41.803448275862074,88.93571428571427,+199.28,+536.72,35.7,100.0,96.1,+180.11,+169.19,60.861,74.01,81.802,+21.60,+34.41,9.776923076923078,11.10357142857143,16.47307692307692,+13.57,+68.49,44.1,43.0,53.8,-2.49,+22.00,1203,1268,1240,+5.40,+3.08,84.08,85.39,85.17,+1.56,+1.30,0.0,0.0,0.0,,,0.0,0.0,0.0,,,10801.018082012888,10929.436628008261,8124.661412992282,+1.19,-24.78
cs-classicmceliece8192128-ascon128a-mldsa87,Classic-McEliece-8192128,ML-DSA-87,Ascon-128a,L5,507.142772,1344.141732,1243.081194,+165.04,+145.11,373.12269,1212.504365,1088.4976020000001,+224.96,+191.73,0.021794000375820088,0.020489616795983746,0.02139616251092938,-5.99,-1.83,0,0,0,,,15.21851851851852,40.207142857142856,88.97037037037036,+164.20,+484.62,35.8,61.9,95.1,+72.91,+165.64,60.861,74.01,82.776,+21.60,+36.01,10.576923076923077,14.92962962962963,10.107692307692306,+41.15,-4.44,36.8,69.2,54.5,+88.04,+48.10,1186,1209,1202,+1.94,+1.35,85.95,84.47,85.84,-1.72,-0.13,0.0,0.0,0.0,,,0.0,0.0,0.0,,,10501.238691998878,10000.772686005803,9489.552151993848,-4.77,-9.63
